path,name,classification,is_sharded,shard_count,canonical_strategy,dataset_lines,problem_instance_lines,runs_lines,run_summary_lines,iteration_event_lines,run_checkpoint_lines,optimizer_run_lines,has_db,source_script,seed_count,max_iterations,time_limit_s,optimizer_total_config,paper_include,paper_reason,training_include,training_reason,full_archive_include,full_archive_reason
results/expansion_20260822/iaea_v1_pool9_r3,iaea_v1_pool9_r3,sharded_experiment,1,2,root_merged_core__shard_rich_tables,22,22,594,594,15827,11286,594,1,,3,40,150.0,,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/expansion_20260822/sns_v3_full_240_m40_t120_r4,sns_v3_full_240_m40_t120_r4,sharded_experiment,1,4,shard_only,240,240,17280,17280,1232942,328320,17280,1,run_sns_family_full_sweep.py,4,40,120.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/expansion_20260822/thmf_v1_pool9_r3,thmf_v1_pool9_r3,sharded_experiment,1,2,root_merged_core__shard_rich_tables,184,184,4968,4968,132785,94392,4968,1,,3,40,120.0,,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/expansion_20260826/ex_heat_time_v1_pool9_r3,ex_heat_time_v1_pool9_r3,sharded_experiment,1,2,root_merged_core__shard_rich_tables,44,44,1188,1188,50095,22572,1188,1,,3,40,120.0,,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/expansion_20260826/ex_pde_v1_pool9_r3,ex_pde_v1_pool9_r3,sharded_experiment,1,2,root_merged_core__shard_rich_tables,205,205,5535,5535,231135,105165,5535,1,,3,40,120.0,,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/heat_v1_full_180_m30_t90_r3,heat_v1_full_180_m30_t90_r3,sharded_experiment,1,4,shard_only,180,180,9720,9720,278145,184680,9720,1,run_sns_family_full_sweep.py,3,30,90.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/iaea_v1_full_180_m20_t90_r2,iaea_v1_full_180_m20_t90_r2,sharded_experiment,1,3,shard_only,180,180,9720,9720,267509,184680,9720,1,run_sns_family_full_sweep.py,3,20,90.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/iaea_v1_full_180_m30_t90_r3_20260708_102705,iaea_v1_full_180_m30_t90_r3_20260708_102705,sharded_experiment,1,4,shard_only,67,63,9720,9720,319165,184680,9720,1,run_sns_family_full_sweep.py,3,30,90.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/massive_pde_database_v1,massive_pde_database_v1,raw_experiment,0,0,single_dir,16,3,878,818,63723,17063,872,1,,3,50,120,,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/massive_pde_extensions_v1,massive_pde_extensions_v1,raw_experiment,0,0,single_dir,12,11,682,636,21058,13292,697,1,,3,30,300,,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/sns_v1_full18_i150_r2,sns_v1_full18_i150_r2,raw_experiment,0,0,single_dir,45,42,1652,1612,30763,31416,1636,1,,,15,60,,0,"Auxiliary baseline, sanity, or pilot directory.",1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/sns_v1_full_150_m30_t60_r3,sns_v1_full_150_m30_t60_r3,raw_experiment,0,0,single_dir,150,150,8100,8100,262708,153900,8100,1,run_sns_family_full_sweep.py,3,30,60.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/sns_v1_full_150_m40_t90_r4_20260429_234621,sns_v1_full_150_m40_t90_r4_20260429_234621,sharded_experiment,1,4,shard_only,150,150,10800,10800,461520,205200,10800,1,run_sns_family_full_sweep.py,4,40,90.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/sns_v3_full_160_m30_t90_r3,sns_v3_full_160_m30_t90_r3,sharded_experiment,1,4,shard_only,160,160,8640,8640,495051,164160,8640,1,run_sns_family_full_sweep.py,3,30,90.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/sns_v3_full_240_m30_t90_r3_more1,sns_v3_full_240_m30_t90_r3_more1,sharded_experiment,1,4,shard_only,98,105,5325,5329,297146,101116,5345,1,run_sns_family_full_sweep.py,3,30,90.0,18,0,Contains malformed JSONL rows in current archive.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/static_ranker_baseline_latest,static_ranker_baseline_latest,raw_experiment,0,0,single_dir,782,782,28063,0,0,534009,0,0,,,,,,0,"No canonical run_summary records.; Auxiliary baseline, sanity, or pilot directory.",1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
results/thmf_v1_full_180_m30_t90_r3_20260708_102705,thmf_v1_full_180_m30_t90_r3_20260708_102705,sharded_experiment,1,4,shard_only,115,119,9720,9720,281297,184680,9720,1,run_sns_family_full_sweep.py,3,30,90.0,18,1,Stable experiment with canonical run summaries.,1,Substantive experiment or training view.,1,All curated exportable manifests are retained in the full archive universe.
